Institution_ID,Institution_Name,Institution_Address,Institution_City,Institution_State,Institution_Zip,
142072,Aiken Technical College,2276 Jefferson Davis Highway,Graniteville,SC,29829,
162797,Ailano School of Cosmetology,541 West St,Brockton,MA,02301-5734,
188739,AIMS Academy,1711 South Interstate 35 East,Carrollton,TX,75006,
182555,Aims Academy - Grand Prairie,"1106 N HIGHWAY 360, #305",GRAND PRAIRIE,TX,,
107257,Aims Community College,5401 W. 20th St.,Greeley,CO,80632,
134741,Air Force Institute of Technology,"2950 Hobson Way, Bldg 640",Wright-Patterson AFB,OH,45433,
191852,Air University,55 LeMay Plaza South,Maxwell AFB,AL,36112-6335,
182935,Air University Extension Course Program,"U.S. Air Force, 50 South Turner Boulevard",Maxwell AFB-Gunter Annex,AL,36118-5643,
163851,Airman's Proficiency Center,3565 NE Cornell Road,Hillsboro,OR,97124,
227368,"Airstreams Renewables, Inc.","410 West J Street, Suite B",Tehachapi,CA,93561,
135160,Akron Children's Hospital,One Perkins Square,Akron,OH,44308,
205197,Akron General Medical Center,400 Wabash Ave,Akron,OH,44307-2463,
134778,Akron Machining Institute Inc,2959 Barber Rd,Norton,OH,44203,
134796,Akron School of Practical Nursing,1532 Peckham St,Akron,OH,44320,
178794,AKS Massage School,"462 Herndon Pkwy., Suite 208",Herndon,VA,20170,
100025,Alabama A & M University,4900 Meridian St,Normal,AL,35762,
210252,Alabama Aviation College,3405 South U.S. Highway 231,Ozark,AL,36360,
228796,Alabama College of Osteopathic Medicine,"Doctors Building, 2nd FL, 1108 Ross Clark Circle",Dothan,AL,36301,
236513,Alabama School of Nail Technology & Cosmetology,202 Commerce Street,Jackson,AL,36545,
100566,Alabama Southern Community College,2800 South Alabama Avenue,Monroeville,AL,36460,
155335,Alabama State College of Barber Styling,753 Main St.,Gardendale,AL,35071,
219833,Alabama State Department of Education,"5163 Gordon Persons Bldg., P.O.Box 302101",Montgomery,AL,36130,
100061,Alabama State University,915 S Jackson Street,Montgomery,AL,36104,
137281,Aladdin Beauty College #20,1406 Gary Blvd.,Clinton,OK,73505,
128911,Aladdin Beauty College #22,108 South Union Avenue,Roswell,NM,88201,
134264,Alamance Community College,1247 Jimmie Kerr Road,Graham,NC,27253-8000,
206987,Alamance Regional Medical Center,PO Box 202,Burlington,NC,27216-0202,
174358,Alamdea Adult School,2250 Central Avenue,Alameda,CA,94501,
236452,Alameda Health System,1411 East 31st Street,Oakland,CA,94602,
228088,Alamo City Barber College,"8910 Bandera Road, Suite 204",San Antonio,TX,78250,
231271,Alaska Bible College,248 East Elmwood Ave.,Palmer,AK,99645,
100858,Alaska Career College,1415 E Tudor Road,Anchorage,AK,99507-1033,
207290,Alaska Christian College,35109 Royal Pl,Soldotna,AK,99669-9755,
194462,Alaska Eye Care Centers Residency in Contact Lens and Primary Care,1345 W 9th Ave.,Anchorage,AK,99501,
100803,Alaska Pacific University,4101 University Dr,Anchorage,AK,99508,
227766,Alaska VA Healthcare System,1201 North Muldoon Road,Anchorage,AK,99504,
129297,Albany College of Pharmacy,106 New Scotland Avenue,Albany,NY,12208-3492,
129303,Albany Law School,80 New Scotland Avenue,Albany,NY,12208,
129312,Albany Medical College,47 New Scotland Ave,Albany,NY,12208-0000,
110820,Albany State University,504 College Drive,Albany,GA,31705,
231572,Albany Stratton VA Medical Center,113 Holland Ave,Albany,NY,12208,
110802,Albany Technical College,1704 South Slappey Boulevard,Albany,GA,31701,
237288,Albert Career School,1400 Willow Avenue,Elkins Park,PA,19027,
196468,Albert Einstein College of Medicine - Bronx Psychiatric Center,1500 Waters Place,Bronx,NY,10461,
196477,Albert Einstein College of Medicine - Montefiore Medical Center,111 E. 210th Street,Bronx,NY,10467,
223296,"Albert Einstein College of Medicine, Montefiore Medical Center Psychology Internship",111 E. 210th Street,Bronx,NY,10467,
138673,Albert Einstein Medical Center,5501 Old York Road,Philadelphia,PA,19141,
224864,Albert Einstein Medical Center Dental General Practice Residency 12 Months,5501 Old York Road,Philadelphia,PA,19141-3098,
107956,Albertus Magnus College,700 Prospect St,New Haven,CT,06511-1189,
122083,Albion College,611 E Porter St,Albion,MI,49224,
138682,Albright College,P. O. Box 15234,Reading,PA,19612-5234,
128896,Albuquerque Barber College,"601 San Pedro NE, Suite 100",Albuquerque,NM,87108,
179007,Albuquerque Job Corps Center,1500 Indian School Road NW,Albuqueque,NM,,
178767,Albuquerque Public Schools,807 Mountain Road NE,Albuquerque,NM,87102,
124502,Alcorn State University,1000 ASU Dr Ste 359,Alcorn State,MS,39096-7500,
188377,Alden's School of Cosmetology,2080 Main Street,Baker,LA,70714,
149222,Alderson Broaddus University,101 College Hill Drive,Philippi,WV,26416,
185369,Alegent Health School of Medical Assisting,810 N. 96th Street,Omaha,NE,68114,
218788,"Alexander Academy, Inc.",55 Massachusetts Avenue,Luneburg,MA,1462,
228909,Alexander Paul Institute of Hair Design,1011-A Charles Boulevard,Greenville,NC,27858,
118231,Alexandria Academy of Beauty Culture,2305 Rapides Ave,Alexandria,LA,71301-5730,
154864,Alexandria School of Scientific Therapeutics,809 S Harrison St,Alexandria,IN,46001-0287,
123402,Alexandria Technical College,1601 Jefferson Streeet,Alexandria,MN,56308,
205212,Alexian Brothers Health System,600 Alexian Way,Elk Grove Village,IL,60007,
230065,Alfred I. duPont Hospital for Children,1600 Rockland Road,Wilmington,DE,19803,
188270,Alfred State College,Agriculture Science Building,Alfred,NY,14801,
129321,Alfred University,One Saxon Dr,Alfred,NY,14802-1205,
174367,Alhambra Adult Education,217 N. Garfield Avenue,Alhambra,CA,91801,
158653,Alhambra Beauty College,200 W Main St,Alhambra,CA,91801,
218636,Alhambra Medical University,"2215 West Mission Road, Suite 280",Alhambra,CA,91803,
117326,Alice Lloyd College,100 Purpose Rd,Pippa Passes,KY,41844,
236984,All American Barber Academy L.P,5834 North 43rd Avenue,Glendale,AZ,85301,
188748,All American Career College,"320 North E. Street, Suite 513",San Bernardino,CA,92401,
215886,All Beauty College,1385 East Gemini Street,Fort Mohave,AZ,86426,
214722,All Saints Bible College,930 Mason Street,Memphis,TN,38126,
162575,All State Career School,"1200 Lebanon Road, Suite 101",West Mifflin,PA,15122,
138691,All-State Career School,501 Seminole St,Lester,PA,19029,
155876,All-State Career School,2200 Broening Hwy Ste 160,Baltimore,MD,21224,
234410,All-State Career School,50 West Powhattan Avenue,Essington,PA,19039,
102447,Allan Hancock College,800 S College Dr,Santa Maria,CA,93454-6399,
119784,Allegany College of Maryland,12401 Willowbrook Rd SE,Cumberland,MD,21502,
138716,Allegheny College,520 N Main St,Meadville,PA,16335-3902,
197647,Allegheny General Hospital,320 East North Avenue,Pittsburgh,PA,,
134811,Allegheny Wesleyan College,2161 Woodsdale Rd,Salem,OH,44460-9598,
183503,Allegro Music College,1851 Ponce de Leon,Santurce,PR,909,
